card_id,disp_id,type,issued
1005,9285,Diamond,07-11-2016
104,588,Diamond,19-12-2017
747,4915,Diamond,05-12-2017
70,439,Diamond,08-12-2017
577,3687,Diamond,15-12-2017
377,2429,Diamond,03-12-2017
721,4680,Silver,05-12-2017
437,2762,Diamond,01-12-2017
188,1146,Diamond,19-12-2017
13,87,Diamond,29-12-2017
732,4763,Diamond,21-12-2017
181,1066,Diamond,19-12-2017
384,2475,Silver,15-12-2017
309,1946,Diamond,19-12-2017
478,3084,Diamond,09-11-2017
563,3589,Diamond,21-11-2017
369,2363,Diamond,08-11-2017
376,2428,Diamond,10-11-2017
483,3115,Diamond,24-11-2017
174,1039,Silver,04-11-2017
658,4251,Diamond,25-11-2017
763,5138,Silver,30-11-2017
778,5275,Diamond,02-12-2018
1039,9837,Diamond,07-12-2018
477,3082,Silver,16-12-2018
168,1018,Diamond,24-12-2018
314,1999,Silver,27-12-2018
468,3023,Diamond,30-12-2018
208,1246,Gold,08-12-2018
766,5200,Diamond,11-12-2018
464,2984,Diamond,21-12-2018
497,3184,Diamond,03-12-2018
166,999,Diamond,05-12-2018
15,114,Diamond,05-12-2018
503,3225,Diamond,08-12-2018
1038,9787,Silver,30-12-2018
737,4791,Diamond,13-12-2018
418,2623,Diamond,14-12-2018
759,5117,Silver,18-12-2018
223,1353,Diamond,18-12-2018
5,51,Silver,24-12-2018
159,946,Diamond,01-12-2018
1223,13231,Silver,02-12-2018
662,4293,Diamond,09-12-2018
779,5323,Silver,21-12-2018
1040,9890,Silver,28-12-2018
545,3458,Diamond,30-12-2018
467,3019,Diamond,05-12-2018
1247,13660,Diamond,13-12-2018
652,4211,Diamond,16-12-2018
559,3573,Diamond,17-12-2018
719,4663,Diamond,24-12-2018
397,2513,Diamond,24-12-2018
107,593,Diamond,27-12-2018
661,4270,Diamond,03-12-2018
484,3116,Diamond,04-12-2018
501,3197,Diamond,09-12-2018
422,2650,Silver,11-12-2018
705,4555,Diamond,12-12-2018
410,2569,Diamond,20-12-2018
136,778,Diamond,28-12-2018
592,3782,Silver,07-12-2018
262,1647,Silver,24-12-2018
18,128,Diamond,25-12-2018
3,41,Gold,03-12-2018
98,537,Diamond,06-12-2018
167,1011,Diamond,15-12-2018
97,531,Silver,19-12-2018
699,4532,Diamond,26-12-2018
342,2157,Diamond,27-12-2018
713,4627,Diamond,30-12-2018
118,652,Diamond,22-11-2018
783,5433,Silver,24-11-2018
1103,11189,Diamond,04-11-2018
504,3230,Silver,06-11-2018
261,1629,Gold,09-11-2018
296,1876,Gold,13-11-2018
113,629,Silver,16-11-2018
92,508,Diamond,20-11-2018
1225,13268,Diamond,22-11-2018
393,2498,Silver,03-11-2018
695,4507,Diamond,15-11-2018
666,4328,Silver,25-11-2018
462,2978,Diamond,30-11-2018
85,489,Diamond,01-12-2018
337,2141,Diamond,01-12-2019
771,5233,Diamond,08-12-2019
379,2431,Diamond,12-12-2019
106,592,Diamond,14-12-2019
606,3883,Diamond,22-12-2019
427,2688,Gold,25-12-2019
202,1228,Diamond,04-12-2019
814,5911,Diamond,15-12-2019
1064,10328,Diamond,17-12-2019
14,112,Diamond,17-12-2019
423,2657,Diamond,19-12-2019
989,9119,Diamond,21-12-2019
364,2329,Diamond,29-12-2019
267,1691,Silver,09-12-2019
621,3970,Silver,19-12-2019
1139,11836,Silver,26-12-2019
725,4715,Silver,30-12-2019
150,859,Diamond,30-12-2019
302,1900,Diamond,31-12-2019
372,2395,Diamond,31-12-2019
499,3187,Diamond,03-12-2019
229,1384,Diamond,05-12-2019
289,1831,Silver,08-12-2019
1100,11101,Silver,10-12-2019
37,238,Diamond,20-12-2019
286,1812,Gold,21-12-2019
157,907,Diamond,24-12-2019
216,1310,Silver,24-12-2019
977,8968,Diamond,08-12-2019
183,1080,Diamond,08-12-2019
945,8342,Silver,09-12-2019
44,268,Silver,17-12-2019
600,3829,Diamond,20-12-2019
127,714,Diamond,23-12-2019
764,5159,Diamond,29-12-2019
204,1239,Silver,30-12-2019
1134,11742,Diamond,31-12-2019
312,1971,Diamond,08-12-2019
313,1980,Diamond,17-12-2019
641,4116,Diamond,18-12-2019
731,4751,Diamond,23-12-2019
84,487,Diamond,26-12-2019
265,1680,Diamond,28-12-2019
1176,12502,Gold,03-12-2019
1233,13382,Diamond,06-12-2019
407,2555,Diamond,11-12-2019
320,2045,Diamond,11-12-2019
1187,12635,Gold,17-12-2019
121,666,Silver,22-12-2019
1055,10171,Diamond,24-12-2019
303,1912,Diamond,01-12-2019
651,4201,Silver,02-12-2019
736,4789,Diamond,03-12-2019
24,153,Silver,05-12-2019
587,3763,Silver,05-12-2019
119,655,Diamond,08-12-2019
670,4343,Diamond,08-12-2019
227,1380,Diamond,10-12-2019
1164,12269,Diamond,12-12-2019
1043,9974,Silver,14-12-2019
278,1779,Diamond,15-12-2019
103,584,Silver,17-12-2019
673,4353,Silver,31-12-2019
38,242,Diamond,31-12-2019
470,3036,Diamond,02-12-2019
890,7422,Diamond,08-12-2019
514,3267,Diamond,10-12-2019
741,4832,Diamond,11-12-2019
882,7195,Diamond,11-12-2019
12,83,Silver,11-12-2019
152,876,Diamond,16-12-2019
163,984,Diamond,18-12-2019
708,4568,Silver,24-12-2019
1087,10887,Diamond,06-11-2019
854,6753,Diamond,07-11-2019
601,3830,Diamond,08-11-2019
99,548,Gold,09-11-2019
547,3477,Diamond,11-11-2019
40,255,Diamond,13-11-2019
220,1333,Diamond,13-11-2019
390,2490,Diamond,14-11-2019
776,5263,Diamond,19-11-2019
197,1202,Silver,21-11-2019
516,3279,Diamond,25-11-2019
381,2440,Diamond,27-11-2019
1010,9413,Diamond,27-11-2019
813,5873,Silver,28-11-2019
272,1754,Silver,28-11-2019
772,5243,Diamond,30-11-2019
528,3356,Diamond,01-12-2019
1014,9452,Diamond,02-11-2019
87,493,Diamond,02-11-2019
88,496,Diamond,04-11-2019
441,2785,Diamond,05-11-2019
562,3583,Diamond,07-11-2019
690,4479,Diamond,07-11-2019
374,2423,Diamond,08-11-2019
57,347,Diamond,09-11-2019
722,4684,Diamond,14-11-2019
300,1890,Diamond,20-11-2019
117,649,Silver,23-11-2019
541,3427,Silver,26-11-2019
294,1861,Diamond,04-11-2019
10,77,Diamond,07-11-2019
710,4588,Silver,10-11-2019
408,2560,Diamond,10-11-2019
363,2324,Silver,11-11-2019
697,4518,Diamond,11-11-2019
433,2724,Diamond,12-11-2019
642,4137,Diamond,13-11-2019
243,1478,Diamond,13-11-2019
162,967,Silver,23-11-2019
594,3794,Silver,27-11-2019
609,3893,Diamond,29-11-2019
1111,11288,Diamond,01-12-2019
786,5478,Diamond,01-12-2019
1118,11393,Diamond,02-12-2020
175,1040,Diamond,03-12-2020
565,3601,Gold,06-12-2020
714,4638,Diamond,09-12-2020
137,786,Silver,10-12-2020
22,138,Diamond,11-12-2020
325,2102,Diamond,12-12-2020
194,1182,Diamond,13-12-2020
668,4340,Diamond,14-12-2020
706,4559,Gold,16-12-2020
850,6644,Diamond,16-12-2020
298,1885,Diamond,17-12-2020
105,590,Diamond,17-12-2020
1036,9735,Diamond,17-12-2020
292,1842,Gold,18-12-2020
112,626,Silver,19-12-2020
678,4405,Gold,20-12-2020
1093,11011,Diamond,20-12-2020
681,4426,Diamond,22-12-2020
582,3733,Diamond,22-12-2020
729,4740,Silver,22-12-2020
54,334,Diamond,24-12-2020
258,1607,Diamond,26-12-2020
534,3387,Diamond,29-12-2020
667,4333,Diamond,31-12-2020
195,1194,Diamond,03-12-2020
199,1213,Diamond,07-12-2020
490,3136,Gold,07-12-2020
347,2184,Diamond,11-12-2020
210,1253,Diamond,16-12-2020
293,1850,Diamond,17-12-2020
189,1157,Diamond,19-12-2020
324,2074,Diamond,19-12-2020
578,3689,Silver,21-12-2020
266,1690,Diamond,04-12-2020
568,3615,Diamond,05-12-2020
171,1027,Diamond,05-12-2020
679,4416,Diamond,06-12-2020
841,6468,Diamond,06-12-2020
513,3260,Diamond,15-12-2020
647,4171,Silver,21-12-2020
665,4318,Diamond,24-12-2020
400,2529,Diamond,06-12-2020
617,3944,Gold,09-12-2020
709,4587,Silver,11-12-2020
387,2481,Diamond,18-12-2020
226,1378,Diamond,18-12-2020
350,2226,Diamond,20-12-2020
539,3415,Diamond,23-12-2020
583,3735,Diamond,24-12-2020
576,3671,Diamond,30-12-2020
232,1396,Diamond,01-12-2020
730,4749,Diamond,02-12-2020
616,3943,Diamond,05-12-2020
564,3590,Diamond,06-12-2020
82,474,Diamond,07-12-2020
1173,12442,Diamond,08-12-2020
426,2686,Diamond,09-12-2020
791,5521,Diamond,12-12-2020
572,3636,Silver,16-12-2020
375,2425,Silver,17-12-2020
69,438,Diamond,17-12-2020
607,3885,Diamond,17-12-2020
155,900,Silver,17-12-2020
275,1762,Diamond,20-12-2020
847,6610,Diamond,20-12-2020
399,2527,Diamond,22-12-2020
305,1914,Diamond,23-12-2020
430,2713,Diamond,26-12-2020
349,2214,Diamond,26-12-2020
256,1583,Diamond,26-12-2020
50,309,Diamond,28-12-2020
939,8217,Silver,29-12-2020
110,608,Diamond,31-12-2020
184,1089,Gold,03-12-2020
90,503,Diamond,04-12-2020
597,3813,Silver,06-12-2020
471,3037,Diamond,09-12-2020
494,3173,Diamond,10-12-2020
211,1271,Diamond,10-12-2020
353,2259,Diamond,11-12-2020
213,1289,Gold,11-12-2020
1009,9409,Gold,14-12-2020
297,1883,Diamond,15-12-2020
801,5684,Diamond,15-12-2020
748,4923,Diamond,16-12-2020
133,742,Diamond,16-12-2020
316,2013,Diamond,17-12-2020
145,819,Diamond,17-12-2020
270,1736,Silver,17-12-2020
1178,12542,Diamond,19-12-2020
222,1345,Diamond,19-12-2020
241,1461,Diamond,20-12-2020
280,1793,Diamond,22-12-2020
675,4376,Diamond,23-12-2020
108,597,Diamond,25-12-2020
1196,12805,Diamond,27-12-2020
287,1819,Silver,28-12-2020
443,2808,Diamond,29-12-2020
1138,11825,Diamond,29-12-2020
733,4764,Silver,30-12-2020
311,1954,Diamond,01-12-2020
120,662,Diamond,03-12-2020
122,667,Silver,03-12-2020
476,3079,Diamond,06-12-2020
781,5366,Diamond,07-12-2020
588,3765,Diamond,08-12-2020
403,2538,Silver,12-12-2020
139,797,Diamond,14-12-2020
553,3522,Diamond,14-12-2020
625,3987,Diamond,17-12-2020
413,2592,Silver,20-12-2020
591,3779,Diamond,23-12-2020
694,4504,Diamond,24-12-2020
512,3259,Diamond,24-12-2020
1095,11023,Gold,28-12-2020
1059,10235,Diamond,29-12-2020
75,457,Diamond,29-12-2020
383,2469,Diamond,30-12-2020
115,638,Diamond,30-12-2020
884,7286,Gold,31-12-2020
454,2921,Diamond,01-12-2020
688,4472,Diamond,01-12-2020
936,8030,Diamond,02-12-2020
663,4295,Diamond,06-12-2020
637,4094,Silver,06-12-2020
511,3257,Silver,06-12-2020
1220,13160,Diamond,08-12-2020
628,4007,Diamond,11-12-2020
718,4660,Diamond,12-12-2020
238,1452,Gold,17-12-2020
546,3465,Gold,19-12-2020
660,4265,Silver,19-12-2020
491,3151,Diamond,21-12-2020
140,798,Diamond,22-12-2020
502,3201,Diamond,22-12-2020
598,3821,Diamond,23-12-2020
355,2267,Diamond,28-12-2020
43,267,Diamond,29-12-2020
610,3894,Diamond,29-12-2020
182,1067,Gold,31-12-2020
41,256,Diamond,31-12-2020
91,504,Silver,01-12-2020
252,1529,Diamond,02-12-2020
495,3181,Diamond,02-12-2020
259,1610,Diamond,05-12-2020
187,1140,Diamond,07-12-2020
185,1098,Diamond,07-12-2020
1025,9625,Diamond,08-12-2020
19,130,Diamond,09-12-2020
431,2715,Gold,12-12-2020
356,2268,Diamond,13-12-2020
767,5204,Diamond,14-12-2020
537,3405,Diamond,15-12-2020
703,4546,Diamond,17-12-2020
671,4345,Diamond,17-12-2020
896,7567,Diamond,18-12-2020
343,2164,Diamond,21-12-2020
279,1791,Diamond,21-12-2020
622,3981,Silver,22-12-2020
612,3906,Diamond,22-12-2020
206,1243,Diamond,22-12-2020
190,1165,Diamond,23-12-2020
1203,12893,Diamond,26-12-2020
234,1424,Diamond,29-12-2020
30,202,Diamond,01-11-2020
327,2117,Diamond,03-11-2020
49,305,Diamond,03-11-2020
1115,11375,Silver,03-11-2020
698,4522,Gold,07-11-2020
874,7127,Gold,07-11-2020
247,1500,Silver,08-11-2020
656,4235,Diamond,08-11-2020
436,2759,Diamond,09-11-2020
124,688,Diamond,10-11-2020
633,4078,Diamond,12-11-2020
428,2698,Diamond,13-11-2020
638,4100,Gold,14-11-2020
153,886,Gold,19-11-2020
596,3811,Diamond,19-11-2020
664,4316,Diamond,22-11-2020
251,1525,Diamond,23-11-2020
552,3519,Diamond,25-11-2020
9,76,Diamond,25-11-2020
11,79,Gold,25-11-2020
650,4194,Diamond,26-11-2020
59,365,Diamond,27-11-2020
1016,9525,Diamond,28-11-2020
359,2299,Diamond,29-11-2020
438,2768,Diamond,30-11-2020
94,513,Diamond,06-11-2020
1056,10220,Diamond,06-11-2020
273,1758,Diamond,07-11-2020
947,8366,Diamond,08-11-2020
93,510,Diamond,09-11-2020
762,5132,Diamond,10-11-2020
254,1578,Diamond,11-11-2020
611,3896,Diamond,13-11-2020
648,4188,Diamond,18-11-2020
373,2401,Diamond,18-11-2020
579,3699,Diamond,18-11-2020
555,3544,Diamond,19-11-2020
329,2122,Gold,19-11-2020
707,4560,Diamond,21-11-2020
51,321,Diamond,21-11-2020
382,2445,Gold,22-11-2020
472,3056,Diamond,24-11-2020
237,1445,Diamond,25-11-2020
1234,13386,Diamond,28-11-2020
86,490,Diamond,28-11-2020
540,3425,Diamond,29-11-2020
493,3167,Diamond,30-11-2020
532,3382,Diamond,30-11-2020
590,3769,Diamond,02-11-2020
942,8295,Diamond,02-11-2020
33,221,Silver,03-11-2020
739,4821,Diamond,03-11-2020
45,272,Diamond,05-11-2020
25,158,Diamond,06-11-2020
200,1220,Gold,09-11-2020
268,1707,Gold,11-11-2020
507,3245,Diamond,11-11-2020
569,3616,Diamond,12-11-2020
282,1799,Gold,13-11-2020
536,3404,Diamond,13-11-2020
1022,9606,Diamond,13-11-2020
1105,11237,Diamond,13-11-2020
326,2104,Diamond,14-11-2020
380,2434,Diamond,15-11-2020
723,4699,Diamond,15-11-2020
81,473,Diamond,17-11-2020
521,3310,Diamond,17-11-2020
608,3890,Diamond,17-11-2020
589,3766,Silver,20-11-2020
281,1795,Diamond,22-11-2020
891,7434,Diamond,23-11-2020
774,5249,Diamond,25-11-2020
566,3606,Diamond,25-11-2020
575,3667,Gold,25-11-2020
154,887,Diamond,28-11-2020
130,722,Diamond,29-11-2020
434,2739,Diamond,30-11-2020
83,483,Diamond,05-12-2021
