card_id,disp_id,type,issued
593,3787,Silver,06-12-2021
481,3102,Silver,06-12-2021
304,1913,Diamond,06-12-2021
149,858,Diamond,07-12-2021
659,4258,Diamond,08-12-2021
517,3291,Diamond,09-12-2021
368,2361,Diamond,10-12-2021
482,3104,Silver,13-12-2021
689,4473,Diamond,15-12-2021
557,3567,Diamond,17-12-2021
897,7576,Diamond,18-12-2021
803,5727,Diamond,19-12-2021
401,2532,Diamond,19-12-2021
760,5126,Diamond,19-12-2021
274,1759,Diamond,21-12-2021
28,174,Silver,22-12-2021
904,7672,Diamond,22-12-2021
474,3066,Silver,24-12-2021
214,1292,Diamond,24-12-2021
55,335,Diamond,25-12-2021
340,2155,Diamond,25-12-2021
724,4701,Gold,27-12-2021
67,429,Silver,28-12-2021
236,1440,Silver,29-12-2021
68,434,Diamond,31-12-2021
348,2203,Diamond,02-12-2021
65,414,Diamond,02-12-2021
1239,13442,Silver,02-12-2021
165,996,Silver,04-12-2021
249,1517,Diamond,06-12-2021
246,1492,Diamond,08-12-2021
720,4674,Silver,09-12-2021
518,3292,Gold,10-12-2021
459,2958,Gold,11-12-2021
655,4231,Diamond,13-12-2021
624,3985,Silver,13-12-2021
398,2522,Diamond,14-12-2021
796,5579,Diamond,20-12-2021
100,562,Gold,21-12-2021
574,3640,Silver,23-12-2021
360,2308,Diamond,24-12-2021
391,2493,Diamond,24-12-2021
283,1800,Diamond,25-12-2021
726,4721,Diamond,26-12-2021
132,731,Silver,26-12-2021
463,2982,Diamond,26-12-2021
21,132,Diamond,26-12-2021
529,3357,Diamond,27-12-2021
946,8359,Silver,28-12-2021
419,2626,Diamond,28-12-2021
248,1512,Diamond,01-12-2021
215,1296,Diamond,02-12-2021
225,1359,Diamond,03-12-2021
643,4157,Diamond,04-12-2021
844,6567,Silver,04-12-2021
672,4349,Diamond,07-12-2021
276,1765,Diamond,07-12-2021
1230,13312,Diamond,08-12-2021
599,3824,Gold,08-12-2021
72,447,Diamond,09-12-2021
1199,12826,Diamond,09-12-2021
48,295,Diamond,10-12-2021
58,358,Diamond,11-12-2021
334,2133,Diamond,13-12-2021
2,19,Diamond,13-12-2021
228,1382,Silver,15-12-2021
244,1480,Diamond,16-12-2021
1189,12683,Diamond,17-12-2021
198,1211,Silver,18-12-2021
34,225,Diamond,20-12-2021
535,3395,Diamond,22-12-2021
269,1718,Gold,22-12-2021
515,3268,Diamond,23-12-2021
290,1833,Diamond,24-12-2021
315,2005,Silver,24-12-2021
784,5461,Diamond,24-12-2021
63,378,Silver,27-12-2021
417,2619,Diamond,30-12-2021
619,3958,Diamond,01-12-2021
191,1168,Silver,02-12-2021
965,8636,Diamond,02-12-2021
444,2815,Gold,03-12-2021
370,2374,Diamond,03-12-2021
156,906,Silver,07-12-2021
492,3166,Diamond,09-12-2021
52,326,Gold,10-12-2021
71,441,Diamond,11-12-2021
775,5253,Gold,11-12-2021
330,2124,Diamond,11-12-2021
510,3256,Diamond,13-12-2021
170,1020,Diamond,16-12-2021
338,2146,Diamond,16-12-2021
755,5002,Diamond,16-12-2021
451,2888,Silver,16-12-2021
263,1668,Gold,17-12-2021
602,3846,Silver,18-12-2021
498,3186,Diamond,18-12-2021
933,7959,Silver,21-12-2021
89,497,Diamond,22-12-2021
761,5128,Gold,23-12-2021
176,1049,Diamond,25-12-2021
1102,11183,Diamond,25-12-2021
109,605,Diamond,26-12-2021
421,2644,Diamond,27-12-2021
918,7796,Diamond,27-12-2021
680,4417,Diamond,29-12-2021
824,6196,Diamond,29-12-2021
448,2864,Diamond,29-12-2021
1194,12781,Silver,30-12-2021
331,2125,Gold,01-12-2021
734,4765,Diamond,01-12-2021
235,1438,Diamond,02-12-2021
284,1807,Diamond,07-12-2021
412,2585,Diamond,09-12-2021
64,402,Diamond,10-12-2021
186,1133,Gold,12-12-2021
458,2951,Gold,14-12-2021
465,2995,Diamond,15-12-2021
457,2948,Silver,16-12-2021
456,2929,Diamond,16-12-2021
645,4166,Diamond,17-12-2021
906,7683,Gold,18-12-2021
756,5012,Diamond,18-12-2021
218,1322,Diamond,18-12-2021
717,4654,Diamond,19-12-2021
8,60,Silver,20-12-2021
700,4533,Silver,22-12-2021
757,5013,Silver,22-12-2021
126,707,Diamond,23-12-2021
358,2287,Silver,23-12-2021
639,4112,Diamond,23-12-2021
212,1280,Diamond,24-12-2021
415,2609,Diamond,25-12-2021
161,963,Diamond,25-12-2021
207,1244,Diamond,25-12-2021
1216,13097,Diamond,26-12-2021
649,4190,Diamond,29-12-2021
475,3075,Gold,31-12-2021
586,3756,Diamond,31-12-2021
446,2841,Diamond,04-12-2021
823,6178,Diamond,05-12-2021
644,4165,Diamond,05-12-2021
111,615,Diamond,05-12-2021
469,3026,Diamond,07-12-2021
17,127,Diamond,07-12-2021
558,3568,Diamond,07-12-2021
192,1169,Diamond,08-12-2021
631,4061,Silver,09-12-2021
317,2015,Diamond,10-12-2021
716,4651,Silver,11-12-2021
7,56,Diamond,11-12-2021
863,6906,Diamond,12-12-2021
123,679,Diamond,12-12-2021
770,5232,Diamond,15-12-2021
143,816,Diamond,15-12-2021
785,5468,Diamond,16-12-2021
646,4167,Diamond,17-12-2021
160,954,Diamond,17-12-2021
669,4341,Diamond,19-12-2021
101,566,Diamond,19-12-2021
332,2126,Diamond,19-12-2021
362,2320,Gold,21-12-2021
173,1031,Diamond,21-12-2021
16,116,Diamond,23-12-2021
365,2332,Diamond,23-12-2021
701,4534,Diamond,24-12-2021
80,471,Diamond,25-12-2021
831,6275,Diamond,29-12-2021
354,2265,Gold,30-12-2021
250,1522,Diamond,30-12-2021
142,810,Diamond,01-12-2021
991,9149,Silver,01-12-2021
1192,12736,Diamond,02-12-2021
738,4808,Silver,02-12-2021
627,3994,Diamond,05-12-2021
696,4516,Diamond,05-12-2021
260,1616,Diamond,05-12-2021
768,5223,Diamond,06-12-2021
233,1418,Diamond,07-12-2021
450,2880,Diamond,07-12-2021
440,2782,Diamond,07-12-2021
301,1899,Diamond,07-12-2021
485,3124,Diamond,08-12-2021
567,3611,Diamond,08-12-2021
66,425,Diamond,08-12-2021
1002,9261,Diamond,09-12-2021
453,2911,Gold,12-12-2021
277,1777,Gold,12-12-2021
571,3627,Silver,13-12-2021
687,4471,Diamond,14-12-2021
640,4115,Diamond,14-12-2021
39,254,Diamond,14-12-2021
435,2740,Diamond,15-12-2021
411,2572,Diamond,15-12-2021
548,3501,Diamond,16-12-2021
1167,12335,Diamond,18-12-2021
727,4723,Diamond,19-12-2021
603,3850,Diamond,20-12-2021
496,3183,Silver,21-12-2021
73,451,Silver,21-12-2021
146,822,Diamond,23-12-2021
439,2779,Diamond,23-12-2021
613,3913,Diamond,23-12-2021
323,2065,Silver,24-12-2021
623,3984,Diamond,25-12-2021
530,3360,Diamond,25-12-2021
396,2508,Diamond,26-12-2021
1076,10604,Gold,27-12-2021
344,2168,Diamond,27-12-2021
525,3337,Diamond,27-12-2021
42,264,Silver,28-12-2021
740,4823,Silver,28-12-2021
780,5333,Diamond,29-12-2021
509,3253,Gold,30-12-2021
308,1938,Diamond,30-12-2021
618,3947,Diamond,31-12-2021
209,1251,Diamond,31-12-2021
1155,12088,Diamond,01-12-2021
95,519,Silver,01-12-2021
833,6299,Diamond,01-12-2021
319,2038,Silver,02-12-2021
795,5563,Diamond,02-12-2021
508,3249,Diamond,03-12-2021
78,468,Diamond,04-12-2021
683,4437,Diamond,05-12-2021
32,219,Diamond,06-12-2021
550,3515,Diamond,08-12-2021
1217,13098,Silver,09-12-2021
1003,9274,Diamond,09-12-2021
179,1059,Diamond,10-12-2021
169,1019,Diamond,10-12-2021
221,1339,Diamond,10-12-2021
684,4457,Diamond,11-12-2021
77,466,Diamond,13-12-2021
581,3721,Diamond,13-12-2021
47,280,Diamond,13-12-2021
386,2478,Diamond,14-12-2021
346,2177,Diamond,14-12-2021
406,2548,Diamond,16-12-2021
951,8392,Diamond,16-12-2021
519,3297,Diamond,16-12-2021
321,2058,Gold,16-12-2021
128,716,Diamond,19-12-2021
711,4592,Diamond,19-12-2021
538,3414,Gold,20-12-2021
29,192,Diamond,20-12-2021
834,6301,Diamond,21-12-2021
461,2977,Gold,21-12-2021
239,1453,Gold,24-12-2021
395,2502,Diamond,24-12-2021
531,3378,Gold,24-12-2021
1150,12020,Diamond,25-12-2021
96,528,Diamond,26-12-2021
367,2343,Diamond,27-12-2021
1023,9621,Diamond,30-12-2021
702,4543,Diamond,30-12-2021
405,2542,Diamond,31-12-2021
480,3092,Diamond,01-12-2021
1098,11063,Diamond,01-12-2021
79,469,Diamond,02-12-2021
402,2536,Diamond,03-12-2021
551,3517,Diamond,03-12-2021
425,2662,Silver,04-12-2021
1195,12787,Gold,04-12-2021
1154,12070,Diamond,05-12-2021
307,1930,Gold,05-12-2021
752,4944,Silver,06-12-2021
134,769,Diamond,07-12-2021
285,1811,Gold,10-12-2021
544,3448,Gold,10-12-2021
526,3339,Diamond,10-12-2021
352,2235,Diamond,11-12-2021
328,2121,Silver,12-12-2021
26,161,Diamond,14-12-2021
141,808,Diamond,15-12-2021
151,861,Diamond,16-12-2021
203,1231,Diamond,16-12-2021
653,4212,Diamond,16-12-2021
880,7186,Diamond,17-12-2021
620,3959,Diamond,17-12-2021
630,4019,Diamond,18-12-2021
1188,12678,Diamond,19-12-2021
389,2489,Gold,19-12-2021
1024,9622,Diamond,20-12-2021
193,1179,Gold,21-12-2021
758,5016,Diamond,21-12-2021
634,4081,Silver,22-12-2021
361,2312,Diamond,23-12-2021
242,1473,Diamond,24-12-2021
923,7855,Diamond,24-12-2021
1007,9333,Gold,25-12-2021
520,3308,Diamond,25-12-2021
629,4018,Silver,25-12-2021
335,2137,Diamond,25-12-2021
414,2606,Diamond,26-12-2021
36,236,Diamond,28-12-2021
561,3581,Gold,28-12-2021
291,1836,Diamond,29-12-2021
231,1390,Silver,29-12-2021
782,5376,Diamond,29-12-2021
180,1062,Diamond,29-12-2021
765,5175,Diamond,29-12-2021
357,2277,Silver,29-12-2021
554,3535,Diamond,29-12-2021
956,8502,Diamond,30-12-2021
676,4380,Diamond,30-12-2021
255,1579,Gold,01-11-2021
1193,12743,Diamond,01-11-2021
416,2616,Diamond,01-11-2021
585,3753,Gold,01-11-2021
744,4863,Diamond,02-11-2021
23,146,Diamond,03-11-2021
394,2501,Diamond,05-11-2021
460,2971,Diamond,05-11-2021
35,231,Diamond,07-11-2021
447,2845,Diamond,07-11-2021
264,1669,Diamond,07-11-2021
245,1483,Diamond,08-11-2021
505,3233,Silver,09-11-2021
336,2138,Silver,09-11-2021
366,2335,Diamond,09-11-2021
533,3384,Diamond,09-11-2021
288,1826,Diamond,10-11-2021
754,4976,Silver,10-11-2021
116,646,Diamond,11-11-2021
1035,9732,Diamond,11-11-2021
682,4429,Diamond,11-11-2021
792,5526,Diamond,11-11-2021
385,2476,Diamond,12-11-2021
53,333,Diamond,13-11-2021
751,4941,Silver,15-11-2021
614,3938,Silver,16-11-2021
957,8506,Silver,16-11-2021
1,9,Gold,16-11-2021
743,4862,Gold,18-11-2021
61,374,Diamond,18-11-2021
60,370,Diamond,18-11-2021
74,453,Diamond,18-11-2021
749,4929,Diamond,19-11-2021
339,2154,Diamond,19-11-2021
769,5224,Diamond,20-11-2021
488,3134,Gold,20-11-2021
31,208,Diamond,21-11-2021
542,3439,Diamond,22-11-2021
750,4937,Diamond,24-11-2021
855,6764,Diamond,24-11-2021
299,1886,Diamond,25-11-2021
158,928,Gold,25-11-2021
857,6789,Silver,25-11-2021
230,1388,Gold,25-11-2021
295,1864,Diamond,26-11-2021
584,3751,Diamond,28-11-2021
449,2865,Diamond,28-11-2021
351,2232,Diamond,01-11-2021
138,791,Diamond,02-11-2021
524,3333,Diamond,02-11-2021
693,4495,Silver,03-11-2021
604,3858,Diamond,04-11-2021
746,4901,Diamond,04-11-2021
333,2128,Diamond,04-11-2021
129,719,Diamond,05-11-2021
429,2709,Diamond,05-11-2021
424,2659,Diamond,06-11-2021
345,2175,Diamond,07-11-2021
1165,12291,Diamond,08-11-2021
1070,10490,Silver,08-11-2021
217,1316,Diamond,09-11-2021
636,4091,Silver,09-11-2021
820,6039,Diamond,10-11-2021
46,273,Diamond,10-11-2021
742,4833,Diamond,10-11-2021
404,2540,Silver,12-11-2021
102,575,Diamond,12-11-2021
455,2924,Diamond,13-11-2021
253,1536,Gold,14-11-2021
570,3620,Diamond,14-11-2021
27,167,Silver,15-11-2021
580,3713,Diamond,16-11-2021
409,2562,Diamond,16-11-2021
205,1242,Diamond,16-11-2021
773,5245,Diamond,18-11-2021
487,3130,Diamond,18-11-2021
177,1056,Diamond,19-11-2021
632,4069,Diamond,19-11-2021
445,2820,Gold,19-11-2021
1001,9247,Diamond,20-11-2021
257,1589,Diamond,20-11-2021
178,1057,Diamond,21-11-2021
704,4553,Gold,21-11-2021
56,339,Diamond,22-11-2021
148,834,Diamond,22-11-2021
392,2496,Diamond,22-11-2021
523,3319,Silver,23-11-2021
1175,12494,Diamond,24-11-2021
466,2998,Diamond,25-11-2021
500,3192,Diamond,26-11-2021
4,42,Diamond,26-11-2021
388,2488,Silver,26-11-2021
164,992,Diamond,29-11-2021
489,3135,Diamond,29-11-2021
626,3992,Diamond,30-11-2021
1169,12354,Diamond,30-11-2021
1137,11771,Gold,01-11-2021
677,4382,Silver,01-11-2021
20,131,Diamond,02-11-2021
657,4246,Silver,02-11-2021
219,1329,Diamond,04-11-2021
819,5978,Gold,06-11-2021
1177,12535,Gold,06-11-2021
341,2156,Gold,06-11-2021
692,4493,Diamond,08-11-2021
715,4639,Silver,08-11-2021
131,725,Diamond,08-11-2021
201,1223,Diamond,08-11-2021
605,3874,Diamond,11-11-2021
306,1929,Diamond,11-11-2021
378,2430,Diamond,11-11-2021
549,3504,Diamond,12-11-2021
371,2388,Gold,13-11-2021
147,826,Silver,13-11-2021
527,3348,Silver,14-11-2021
172,1030,Diamond,14-11-2021
886,7325,Diamond,15-11-2021
479,3085,Diamond,16-11-2021
691,4492,Diamond,16-11-2021
560,3577,Diamond,17-11-2021
452,2910,Diamond,19-11-2021
506,3236,Gold,19-11-2021
735,4772,Diamond,19-11-2021
654,4230,Diamond,21-11-2021
196,1197,Diamond,22-11-2021
473,3063,Diamond,22-11-2021
829,6255,Diamond,22-11-2021
310,1947,Silver,23-11-2021
76,464,Diamond,23-11-2021
573,3638,Diamond,23-11-2021
240,1459,Diamond,23-11-2021
728,4725,Diamond,24-11-2021
924,7862,Diamond,24-11-2021
486,3128,Gold,25-11-2021
1081,10696,Diamond,25-11-2021
753,4974,Diamond,25-11-2021
442,2796,Diamond,26-11-2021
125,694,Gold,26-11-2021
674,4360,Diamond,28-11-2021
322,2063,Diamond,28-11-2021
685,4467,Diamond,29-11-2021
635,4083,Diamond,29-11-2021
